Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HYPO-WOHN.WANDEL.15-26/18;96.700;0.00%0.000;03/11/202409:41:24;AT0000A1H567;7,200;96.700996,400;97.700-;11/26/2026;q
HWBB MiniMax WA19-30/7 Vbg;91.600;-0.05%-0.050;03/11/202409:33:33;AT0000A26812;25,000;91.600987,500;93.600-;05/02/2030;q
21Shares AG Bitcoin ETP/S.ABTC;22.380;+5.67%+1.200;03/11/202409:29:44;CH0454664001;20;--;--;open-end;q
VbgLHB 4,5% NR SV 15-25;97.700;-1.91%-1.900;03/11/202409:15:00;AT0000A1GTF4;80,000;97.700465,000;99.700-;12/01/2025;q
Telek.Fin.1,5% Anl. 16-26;96.200;+0.07%+0.070;03/08/202417:30:34;XS1405762805;-;95.600100,000;96.660100,000;12/07/2026;C
VERBUND 1,50 %  Notes 14-24;99.210;0.00%0.000;03/08/202417:30:34;XS1140300663;-;98.320100,000;100.100100,000;11/20/2024;C
Borealis 1,75 % Notes 18-25;96.760;0.00%0.000;03/08/202417:30:33;AT0000A24UY3;-;95.65025,000;97.870100,000;12/10/2025;C
OMV 15y Notes 19-34;78.690;+0.56%+0.440;03/08/202417:30:29;XS2022093517;-;78.260300,000;78.710180,000;07/03/2034;C
1,375%voestalpine-Anl.17-24/S1;98.580;+0.02%+0.020;03/08/202417:30:29;AT0000A1Y3P7;-;98.45081,500;98.73084,500;09/27/2024;C
PORR Und.Res,Fix R.Subo.N.2024;104.440;+0.12%+0.120;03/08/202417:30:28;AT0000A39724;-;103.620100,000;105.260100,000;open-end;C
CA Immo 1% Green Bonds 20-25;92.610;0.00%0.000;03/08/202417:30:28;XS2248827771;-;91.950100,000;93.260100,000;10/27/2025;C
OMV 2% Anleihe 20-28/S.16;96.170;+0.27%+0.260;03/08/202417:30:26;XS2154347707;-;95.870300,000;96.23055,000;04/09/2028;C
Wienerberger 2% Bonds 18-24;99.380;+0.02%+0.020;03/08/202417:30:26;AT0000A20F93;-;99.14026,000;99.63075,000;05/02/2024;C
OMV 1,5% Anleihe 20-24/S.15;100.030;-0.01%-0.010;03/08/202417:30:26;XS2154347293;-;99.850190,000;100.270100,000;04/09/2024;C
OMV 3,5% Anl. 12-27/S.6;101.080;+0.20%+0.200;03/08/202417:30:26;XS0834371469;-;100.900300,000;101.120100,000;09/27/2027;C
OMV 0,75% Anleihe 20-30/S.19;86.470;+0.35%+0.300;03/08/202417:30:25;XS2189613982;-;86.190300,000;86.450300,000;06/16/2030;C
OMV 6y Notes 19-25;95.720;+0.09%+0.090;03/08/202417:30:24;XS2022093434;-;95.510500,000;95.770100,000;07/03/2025;C
Pierer Industrie 2,5%Anl.20-28;93.130;+0.27%+0.250;03/08/202417:30:19;AT0000A2JSQ5;-;92.26086,000;94.00050,000;04/22/2028;C
OMV 2,375% Anleihe 20-32/S.17;94.810;+0.41%+0.390;03/08/202417:30:15;XS2154348424;-;94.460300,000;94.840300,000;04/09/2032;C
Wienerberger 2,75% Bonds 20-25;98.170;+0.07%+0.070;03/08/202417:30:13;AT0000A2GLA0;-;97.560100,000;98.740100,000;06/04/2025;C
OMV 1% Fi.Rate Notes 17-26/S.9;94.600;+0.18%+0.170;03/08/202417:30:12;XS1734689620;-;94.440285,000;94.62090,000;12/14/2026;C
OMV AG 1.875% Notes 18-28/S11;94.430;+0.34%+0.320;03/08/202417:30:11;XS1917590959;-;94.230300,000;94.460100,000;12/04/2028;C
AT&S Unda.Res.Fixed.Subo.Notes;88.740;0.00%0.000;03/08/202417:30:10;XS2432941693;-;88.010100,000;89.720100,000;open-end;C
CA Immo 0,875% Anleihe 20-27;90.480;+0.14%+0.130;03/08/202417:30:07;XS2099128055;-;89.100100,000;91.730100,000;02/05/2027;C
