Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HVbg 3 % Anl. 22-30/DIP S.240;94.300;-0.26%-0.250;03/11/202417:01:34;AT0000A2YXL5;-;--;--;07/19/2030;D
HVbg MinMax-Anl.22-27-II/S244;96.500;-0.10%-0.100;03/11/202417:01:34;AT0000A30350;-;--;--;10/06/2027;D
HVbg 0,67 % Anl. 19-26/S.171;91.250;-0.11%-0.100;03/11/202417:01:33;AT0000A28CN5;-;--;--;06/03/2026;D
HWBB MinMax-WA19-30/12/Vbg/5;90.550;-0.06%-0.050;03/11/202417:01:33;AT0000A28Z42;-;--;--;11/04/2030;D
HVbg Min-Max Fltr.19-26;94.750;-0.05%-0.050;03/11/202417:01:33;AT0000A288B1;-;--;--;06/05/2026;D
HWBB Stz-WA.19-30/9 Vbg;84.900;-0.29%-0.250;03/11/202417:01:33;AT0000A27ZM0;40,000;--;--;07/02/2030;D
HVbg 0,09% kuendb. Anl. 19-24;95.800;+0.05%+0.050;03/11/202417:01:33;AT0000A2B6T8;-;--;--;11/20/2024;D
HVbg-Nachh.-Expr.-Zert.19-25;93.100;-0.27%-0.250;03/11/202417:01:33;AT0000A27661;-;--;--;06/03/2025;D
HWBB MiniMax WA19-30/1 Vbg;91.650;-0.05%-0.050;03/11/202417:01:32;AT0000A25HY7;-;--;--;04/02/2030;D
HypoVbg Stz-Anl.19-25;95.850;0.00%0.000;03/11/202417:01:32;AT0000A25J52;-;--;--;04/02/2025;D
HVbg EUROPA-Div-Gar.19-25;92.950;+0.11%+0.100;03/11/202417:01:32;AT0000A267U5;-;--;--;03/27/2025;D
HWBB MiniMax WA19-30/7 Vbg;91.550;-0.11%-0.100;03/11/202417:01:32;AT0000A26812;25,000;--;--;05/02/2030;D
HYPO VBG 6,125% AT1-Anl.18/S.2;77.450;-0.26%-0.200;03/11/202417:01:31;AT0000A20DC3;-;--;--;open-end;D
HYPOVbg 3,125% Nr SV 17-27;91.250;-0.16%-0.150;03/11/202417:01:31;AT0000A1YQ55;-;--;--;10/27/2027;D
HYPO-WOHN.WANDEL.17-28/9;94.750;-0.05%-0.050;03/11/202417:01:31;AT0000A1U842;-;--;--;03/27/2028;D
HYPO-WOHN.WANDEL.17-28/10;92.350;-0.16%-0.150;03/11/202417:01:31;AT0000A1UXM3;-;--;--;04/11/2028;D
HYPOVbgHYP-EUROP-DIV-GAR.17-25;92.200;0.00%0.000;03/11/202417:01:31;AT0000A1YXS2;-;--;--;12/05/2025;D
HWBB Stfz.-WA18-29/5 Vbg;89.450;-0.22%-0.200;03/11/202417:01:31;AT0000A1ZTW9;-;--;--;03/20/2029;D
HYPO-WOHN.WANDEL.16-27/17;93.750;-0.21%-0.200;03/11/202417:01:30;AT0000A1PN91;-;--;--;12/07/2027;D
HYPO-WOHN.WANDEL.17-29/4;94.000;-0.05%-0.050;03/11/202417:01:30;AT0000A1QEF5;11,000;--;--;01/31/2029;D
HYPO-WOHN.WANDEL.16-27/16;96.350;-0.10%-0.100;03/11/202417:01:30;AT0000A1PN83;-;--;--;12/07/2027;D
HYPO-WOHN.WANDEL 17-28/6;92.600;-0.16%-0.150;03/11/202417:01:30;AT0000A1TMZ0;-;--;--;02/21/2028;D
HYPO-WOHN.WANDEL.16-27/7;95.050;-0.11%-0.100;03/11/202417:01:29;AT0000A1KKW0;-;--;--;03/30/2027;D
HYPO-WOHN.WANDEL.16-27/6;97.150;+0.94%+0.900;03/11/202417:01:29;AT0000A1KAR1;-;--;--;03/08/2027;D
HYPO-WOHN.WANDEL.16-27/13;95.800;-0.05%-0.050;03/11/202417:01:29;AT0000A1MCE1;235,000;--;--;08/09/2027;D
Vbg LHB Add Tier1-Anl. 2016;88.650;-0.06%-0.050;03/11/202417:01:29;AT0000A1LKA4;-;--;--;open-end;D
HYPO-WOHN.WANDEL.16-27/5;96.450;-0.16%-0.150;03/11/202417:01:29;AT0000A1JWT3;-;--;--;02/22/2027;D
HYPO-WOHN.WANDEL.16-27/10;96.200;-0.05%-0.050;03/11/202417:01:29;AT0000A1LDY9;-;--;--;06/21/2027;D
HYPO-WOHN.WANDEL.16-27/4;96.600;-0.10%-0.100;03/11/202417:01:29;AT0000A1JG64;-;--;--;02/15/2027;D
HYPO-WOHN.WANDEL.16-27/9;95.000;-0.16%-0.150;03/11/202417:01:29;AT0000A1KUY5;-;--;--;04/26/2027;D
HYPO-WOHN.WANDEL.15-27/13;96.100;-0.05%-0.050;03/11/202417:01:28;AT0000A1EZS9;-;--;--;07/08/2027;D
HYPO-WOHN.WANDEL.14-26/17;95.450;-0.05%-0.050;03/11/202417:01:28;AT0000A19SA7;-;--;--;10/27/2026;D
HYPO-WOHN.WANDEL.15-26/18;96.600;-0.10%-0.100;03/11/202417:01:28;AT0000A1H567;7,200;--;--;11/26/2026;D
VbgLHB 4,5% NR SV 15-25;97.600;-2.01%-2.000;03/11/202417:01:28;AT0000A1GTF4;80,000;--;--;12/01/2025;D
HYPO-WOHN.WANDEL.15-26/17;98.650;-0.05%-0.050;03/11/202417:01:28;AT0000A1H559;40,000;--;--;11/26/2026;D
HYP.W WB.WDL 13-26/10;98.500;-0.10%-0.100;03/11/202417:01:28;AT0000A0ZDU9;2,200;--;--;03/20/2026;D
HYPO-WOHN.WANDEL.14-27/10;97.650;-0.15%-0.150;03/11/202417:01:28;AT0000A161B0;-;--;--;03/24/2027;D
0,00% Bundesanl. 2021-2025/3;96.530;-0.01%-0.010;03/11/202416:00:11;AT0000A2QRW0;-;--;--;04/20/2025;D
0,00% Bundesanl. 2020-2040/5;61.320;-0.82%-0.510;03/11/202416:00:11;AT0000A2KQ43;-;--;--;10/20/2040;D
0,90% Bundesanl. 2022-2032/2;87.090;-0.46%-0.400;03/11/202416:00:11;AT0000A2WSC8;-;--;--;02/20/2032;D
1,50% Bundesanl. 2016-2086/4;61.540;-1.44%-0.900;03/11/202416:00:11;AT0000A1PEF7;-;--;--;11/02/2086;D
0,00% Bundesanl. 2022-2028/1;88.780;-0.24%-0.210;03/11/202416:00:11;AT0000A2VB47;-;--;--;10/20/2028;D
0,85% Bundesanl. 2020-2120/4;46.700;-1.64%-0.780;03/11/202416:00:11;AT0000A2HLC4;214,000;--;--;06/30/2120;D
2,90% Bundesanl. 2024-2034/1;100.890;-0.52%-0.530;03/11/202416:00:11;AT0000A39UW5;-;--;--;02/20/2034;D
0,00% Bundesanl. 2019-2024/2;98.740;+0.01%+0.010;03/11/202416:00:11;AT0000A28KX7;-;--;--;07/15/2024;D
0,75% Bundesanl. 2016-2026/1;95.090;-0.09%-0.090;03/11/202416:00:11;AT0000A1K9C8;-;--;--;10/20/2026;D
1,50% Bundesanl. 2016-2047/2;75.240;-0.93%-0.710;03/11/202416:00:11;AT0000A1K9F1;12,000;--;--;02/20/2047;D
2,90% Bundesanl. 23-29/2 (G);101.440;-0.28%-0.280;03/11/202416:00:11;AT0000A33SH3;-;--;--;05/23/2029;D
0,75% Bundesanl. 2020-2051/3;59.240;-1.13%-0.680;03/11/202416:00:11;AT0000A2EJ08;-;--;--;03/20/2051;D
3,45% Bundesanl. 2023-2030/4;104.610;-0.34%-0.360;03/11/202416:00:11;AT0000A38239;-;--;--;10/20/2030;D
0,00% Bundesanl. 2021-2025/3;96.530;-0.01%-0.010;03/11/202416:00:11;AT0000A2QRW0;-;--;--;04/20/2025;D
4,85% Bundesanl. 2009-2026/2;103.830;-0.05%-0.050;03/11/202416:00:10;AT0000A0DXC2;-;--;--;03/15/2026;D
3,80% Bundesanl. 2012-2062/1;116.980;-0.99%-1.170;03/11/202416:00:10;AT0000A0U299;-;--;--;01/26/2062;D
6,25% Bundesanl. 1997-2027/6;111.180;-0.11%-0.120;03/11/202416:00:09;AT0000383864;-;--;--;07/15/2027;D
0,75% Bundesanl. 2018-2028/1;92.900;-0.25%-0.230;03/11/202416:00:00;AT0000A1ZGE4;-;--;--;02/20/2028;D
3,15% Bundesanl. 2023-2053/3;102.020;-0.89%-0.920;03/11/202416:00:00;AT0000A33SK7;-;--;--;10/20/2053;D
1,85% Bundesanl. 22-49/3 (G);79.460;-0.92%-0.740;03/11/202416:00:00;AT0000A2Y8G4;-;--;--;05/23/2049;D
0,00% Bundesanl. 2021-2031/1;83.130;-0.42%-0.350;03/11/202416:00:00;AT0000A2NW83;-;--;--;02/20/2031;D
2,40% Bundesanl. 2013-2034/1;96.440;-0.56%-0.540;03/11/202416:00:00;AT0000A10683;-;--;--;05/23/2034;D
4,15% Bundesanl. 2007-2037/1;113.140;-0.52%-0.590;03/11/202416:00:00;AT0000A04967;-;--;--;03/15/2037;D
0,00% Bundesanl. 2020-2030/1;85.700;-0.28%-0.240;03/11/202416:00:00;AT0000A2CQD2;-;--;--;02/20/2030;D
0,50% Bundesanl. 2019-2029/1;90.230;-0.29%-0.260;03/11/202416:00:00;AT0000A269M8;-;--;--;02/20/2029;D
2,00% Bundesanl. 2022-2026/4;98.180;-0.10%-0.100;03/11/202416:00:00;AT0000A308C5;-;--;--;07/15/2026;D
0,70% Bundesanl. 2021-2071/2;46.160;-1.49%-0.700;03/11/202416:00:00;AT0000A2QQB6;-;--;--;04/20/2071;D
2,90% Bundesanl. 2023-2033/1;101.050;-0.48%-0.490;03/11/202416:00:00;AT0000A324S8;38,000;--;--;02/20/2033;D
2,10% Bundesanl. 2017-2117/3;77.320;-1.40%-1.100;03/11/202416:00:00;AT0000A1XML2;168,000;--;--;09/20/2117;D
3,15% Bundesanl. 2012-2044/4;102.000;-0.73%-0.750;03/11/202416:00:00;AT0000A0VRQ6;-;--;--;06/20/2044;D
0,50% Bundesanl. 2017-2027/1;93.510;-0.13%-0.120;03/11/202416:00:00;AT0000A1VGK0;-;--;--;04/20/2027;D
1,20% Bundesanl. 2015-2025/1;97.170;-0.06%-0.060;03/11/202416:00:00;AT0000A1FAP5;-;--;--;10/20/2025;D
1,65% Bundesanl. 2014-2024/1;98.830;0.00%0.000;03/11/202416:00:00;AT0000A185T1;-;--;--;10/21/2024;D
HWBB 3% WB-WA 22-33/3 Bgld;96.510;+7.20%+6.480;03/11/202414:30:47;AT0000A30608;6,000;--;--;09/23/2033;D
PV-Invest 4,15% Anleihe 17-24;100.000;+2.56%+2.500;03/11/202414:16:13;AT0000A1YY14;6,000;--;--;12/18/2024;D
BAWAGPSK WBB 3,7% WA 23-33/S2;103.800;-0.15%-0.160;03/11/202414:15:23;AT0000A36X93;52,000;--;--;11/29/2033;D
BAWAG P.S.K.WB.WD13-28/02;96.310;-0.01%-0.010;03/11/202414:15:16;AT0000A0Y1R8;100,000;--;--;01/18/2028;D
Hypo-WBB WA OOE. 15-27/8;92.800;+0.27%+0.250;03/11/202414:15:12;AT0000A1D301;41,000;--;--;02/18/2027;D
RWBB vario WSV 16-28/RLBTirol;94.360;-0.15%-0.140;03/11/202414:15:10;AT000B124565;8,000;--;--;10/10/2028;D
RWBB 0,25-1,35%StzWSV 16-26/16;93.800;0.00%0.000;03/11/202414:15:09;AT000B124599;42,000;--;--;10/19/2026;D
RLBTir Regional Anl 17-24/1;97.810;+0.01%+0.010;03/11/202414:15:03;AT0000A1Z015;40,000;--;--;12/04/2024;D
AAB variabler Pfandbrief 23-26;100.000;0.00%0.000;03/11/202414:15:01;AT0000A37PF4;20,000;--;--;10/30/2026;D
3BK-WBB Stuf.Zins.WA.  13-25;100.000;-0.74%-0.750;03/11/202413:15:37;AT0000A107M0;44,400;--;--;05/27/2025;D
RLBStmk 4,15% nrFixz.A16-26/17;97.000;-1.02%-1.000;03/11/202413:15:31;AT000B092895;2,000;--;--;07/27/2026;D
HWBB DYNAMIK WA OOe14-25/15;97.500;0.00%0.000;03/11/202413:00:29;AT0000A19RW3;40,000;--;--;09/24/2025;D
EGB 1,80% Anl. II 22-25/1751;96.450;-0.05%-0.050;03/11/202413:00:27;AT0000A2ZU32;2,000;--;--;09/05/2025;D
BKS 3% Nr. Obl. 20-30/3;91.300;0.00%0.000;03/11/202413:00:25;AT0000A2HL84;10,000;--;--;07/31/2030;D
BTV Kapitalschutzanl.19-26/9;110.770;+0.12%+0.130;03/11/202413:00:25;AT0000A28KA5;60,000;--;--;07/29/2026;D
BTV GMFL 22-28/9;96.660;+0.90%+0.860;03/11/202413:00:22;AT0000A2Z708;66,000;--;--;08/30/2028;D
RBI Inflations-Anl. 22-27/257;90.030;0.00%0.000;03/11/202413:00:04;AT000B015417;80,000;--;--;10/13/2027;D
BTV Stuzi Obl 22-27/8;95.610;+0.25%+0.240;03/11/202413:00:04;AT0000A2Z6W4;64,000;--;--;08/30/2027;D
3,5% Hypo-WBB WA NOe 05-25/26;97.750;+0.01%+0.010;03/11/202411:24:30;AT0000491162;14,000;--;--;06/01/2025;D
Hypo-WBB WA NOE. 13-28/17;95.780;+0.54%+0.510;03/11/202411:23:23;AT0000A0ZK93;34,000;--;--;03/05/2028;D
21Shares AG EthereumETP/S.AETH;40.510;+1.28%+0.510;03/11/202409:57:37;CH0454664027;810;--;--;open-end;D
21Shares AG Bitcoin ETP/S.ABTC;22.380;+5.67%+1.200;03/11/202409:29:44;CH0454664001;20;--;--;open-end;D
