Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
Hypo-WBB WA NOE. 14-29/8;91.790;+0.02%+0.020;02/29/202409:16:57;AT0000A15VS1;-;94.5503,000;93.740-;03/12/2029;q
Hypo-WBB WA NOE. 12-27/2;94.580;-0.04%-0.040;02/29/202409:16:56;AT0000A0V453;-;96.0003,000;96.330-;04/04/2027;q
Hypo-WBB WA NOE. 12-27/1;98.310;-0.05%-0.050;02/29/202409:16:56;AT0000A0V446;-;98.310100,000;100.060-;04/04/2027;q
Hypo-WBB WA NOE. 11-26/15;97.890;-0.02%-0.020;02/29/202409:16:56;AT0000A0MQY1;-;98.2009,000;99.540-;04/01/2026;q
Hypo-WBB WA NOE. 13-25/15;96.760;+0.02%+0.020;02/29/202409:16:56;AT0000A0ZK77;-;96.9009,000;98.010-;03/05/2025;q
3,5% Hypo-WBB WA NOe 05-25/26;97.600;+0.01%+0.010;02/29/202409:16:55;AT0000491162;-;97.600100,000;98.850-;06/01/2025;q
var. Hypo-WBB WA NOe 05-26/28;94.940;0.00%0.000;02/29/202409:16:55;AT0000491188;-;94.940100,000;96.190-;01/01/2026;q
1,375%voestalpine-Anl.17-24/S1;98.480;+0.01%+0.010;02/29/202409:05:34;AT0000A1Y3P7;-;98.35094,000;98.630100,000;09/27/2024;C
VERBUND 1,50 %  Notes 14-24;99.190;+0.02%+0.020;02/29/202409:05:34;XS1140300663;-;98.280100,000;100.060100,000;11/20/2024;C
Borealis 1,75 % Notes 18-25;96.740;0.00%0.000;02/29/202409:05:34;AT0000A24UY3;-;95.60020,000;97.870100,000;12/10/2025;C
CA Immo 0,875% Anleihe 20-27;89.900;+0.03%+0.030;02/29/202409:05:32;XS2099128055;-;88.470100,000;91.100100,000;02/05/2027;C
Wienerberger 2% Bonds 18-24;99.320;+0.01%+0.010;02/29/202409:05:32;AT0000A20F93;-;99.07026,000;99.560100,000;05/02/2024;C
Telek.Fin.1,5% Anl. 16-26;95.770;+0.01%+0.010;02/29/202409:05:32;XS1405762805;-;95.120100,000;96.180100,000;12/07/2026;C
OMV 2% Anleihe 20-28/S.16;95.410;0.00%0.000;02/29/202409:05:32;XS2154347707;-;95.30015,000;95.33075,000;04/09/2028;C
OMV 2,375% Anleihe 20-32/S.17;93.320;+0.03%+0.030;02/29/202409:05:30;XS2154348424;-;92.760300,000;93.220300,000;04/09/2032;C
OMV AG 1.875% Notes 18-28/S11;93.460;+0.01%+0.010;02/29/202409:05:29;XS1917590959;-;93.150300,000;93.380100,000;12/04/2028;C
OMV 1,5% Anleihe 20-24/S.15;99.990;+0.02%+0.020;02/29/202409:05:28;XS2154347293;-;99.780190,000;100.200100,000;04/09/2024;C
OMV 0,75% Anleihe 20-30/S.19;85.420;+0.06%+0.050;02/29/202409:05:28;XS2189613982;-;85.060300,000;85.320300,000;06/16/2030;C
OMV 3,5% Anl. 12-27/S.6;100.440;+0.01%+0.010;02/29/202409:05:27;XS0834371469;-;100.170300,000;100.380100,000;09/27/2027;C
VERBUND 0,9%Green+Sust.N.21-41;67.070;+0.18%+0.120;02/29/202409:05:25;XS2320746394;-;66.340100,000;67.610100,000;04/01/2041;C
OMV 1% Fi.Rate Notes 17-26/S.9;94.090;+0.03%+0.030;02/29/202409:05:20;XS1734689620;-;93.860285,000;94.04090,000;12/14/2026;C
Wienerberger 2,75% Bonds 20-25;98.040;-0.01%-0.010;02/29/202409:05:16;AT0000A2GLA0;-;97.430100,000;98.610100,000;06/04/2025;C
Wienerberger Sust.Link.B.23-28;104.140;-0.01%-0.010;02/29/202409:05:14;AT0000A37249;-;104.000100,000;104.1005,000;10/04/2028;C
voestalpine 1,75% Anl.19-26/S1;95.700;+0.04%+0.040;02/29/202409:05:14;AT0000A27LQ1;-;95.180100,000;96.09062,500;04/10/2026;C
PORR Und.Res,Fix R.Subo.N.2024;104.320;0.00%0.000;02/29/202409:05:11;AT0000A39724;-;103.500200,000;105.130100,000;open-end;C
CA Immo 1% Green Bonds 20-25;92.460;0.00%0.000;02/29/202409:05:10;XS2248827771;-;91.800100,000;93.110100,000;10/27/2025;C
OMV 6y Notes 19-25;95.570;+0.03%+0.030;02/29/202409:05:07;XS2022093434;-;95.380500,000;95.650100,000;07/03/2025;C
OMV 15y Notes 19-34;77.000;+0.04%+0.030;02/29/202409:05:05;XS2022093517;-;76.390300,000;76.890180,000;07/03/2034;C
UBM 3,125% Sustain-Li-Bd.21-26;84.420;0.00%0.000;02/29/202409:05:05;AT0000A2QS11;-;83.90030,000;85.540100,000;05/21/2026;C
HVbg 0,23% Notes 21-29/S.219;80.500;0.00%0.000;02/28/202417:02:12;XS2327980509;-;80.5501,000,000;82.550-;04/06/2029;q
HVbg 0,375% Notes 20-30/S.212;76.100;0.00%0.000;02/28/202417:02:12;XS2252219105;-;76.2001,000,000;78.200-;11/04/2030;q
HVbg 0,02% Notes 20-24/S.208;95.850;0.00%0.000;02/28/202417:02:12;XS2240271846;-;95.9001,000,000;97.900-;10/01/2024;q
HVbg 1,8% CZKGreenBd 20-25/186;94.450;0.00%0.000;02/28/202417:02:12;XS2126053953;-;94.4503,000,000;96.450-;03/05/2025;q
