Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HVbg Fix/Swap-li-FRN 18-28/163;90.250;-0.06%-0.050;03/11/202417:01:37;XS1915000753;-;90.200100,000;93.200-;11/27/2028;q
HVbg 0,741% Anl.19-36/S.178;64.450;-0.54%-0.350;03/11/202417:01:37;XS2066563524;-;64.6001,000,000;66.600-;10/16/2036;q
HVbg Fix/Swap-li-FRN 18-28/161;90.600;-0.06%-0.050;03/11/202417:01:37;XS1892228401;-;90.600100,000;93.600-;10/11/2028;q
HVbg 3,25% Anleihe 24-29/S.270;99.150;+0.41%+0.400;03/11/202417:01:36;AT0000A39K95;-;99.1501,000,000;100.650-;01/15/2029;q
HVbg 3,25% Anleihe 24-27/S.269;99.070;0.00%0.000;03/11/202417:01:36;AT0000A39K87;-;99.0701,000,000;100.070-;01/15/2027;q
HWBB 4,00% WB-WA 23-33/18 VBG;104.400;-0.38%-0.400;03/11/202417:01:36;AT0000A38J81;-;104.5001,000,000;106.500-;12/22/2033;q
HVbg fix/swap Rate Notes 01-31;94.750;+0.26%+0.250;03/11/202417:01:36;XS0132540955;-;94.600-;96.600-;07/11/2031;q
HVbg 3,8%GreenBond23-26/S.267;99.950;-0.10%-0.100;03/11/202417:01:36;AT0000A38JB4;-;99.9501,000,000;100.950-;06/18/2026;q
HWBB 3,50% WB-WA 24-34/4 VBG;98.800;-0.35%-0.350;03/11/202417:01:36;AT0000A3A1Y9;-;98.9001,000,000;100.900-;02/21/2034;q
HWBB 4,00% WB-WA 23-33/13, VBG;104.350;-0.33%-0.350;03/11/202417:01:36;AT0000A373X5;400,000;104.4001,000,000;106.400192,000;10/18/2033;q
HypVbg 3,7% KMU Anl.23-28/S266;100.700;-0.15%-0.150;03/11/202417:01:36;AT0000A381H1;-;100.7001,000,000;102.200-;01/25/2028;q
HWBB 4 % WB-WA 23-33/17 VBG;104.450;-0.33%-0.350;03/11/202417:01:36;AT0000A37UU3;-;104.5501,000,000;106.550-;11/15/2033;q
HVbg Green Bond 23-28/S.253;98.950;-0.10%-0.100;03/11/202417:01:35;AT0000A325P1;-;98.9501,000,000;100.450-;02/07/2028;q
